time,x,y,z
6.170,0.28,-0.02,-0.05
6.172,0.26,0.04,-0.19
6.173,0.31,0.00,-0.09
6.174,0.17,-0.03,-0.08
6.176,0.37,0.07,-0.02
6.186,0.39,-0.11,-0.10
6.198,0.36,-0.03,-0.14
6.206,0.32,-0.02,-0.09
6.234,0.34,-0.10,0.00
6.239,0.26,0.00,-0.09
6.242,0.27,-0.04,-0.10
6.246,0.29,-0.02,-0.10
6.256,0.22,-0.05,-0.04
6.265,0.25,0.04,-0.03
6.276,0.20,0.08,-0.00
6.286,0.21,-0.06,-0.09
6.296,0.00,-0.03,0.04
6.305,-0.07,-0.17,-0.08
6.329,-0.10,-0.04,-0.01
6.331,0.07,0.06,0.03
6.339,-0.10,-0.05,0.07
6.344,-0.23,0.19,0.06
6.362,-0.24,-0.13,0.03
6.364,-0.24,-0.06,0.05
6.374,-0.40,0.09,0.05
6.385,-0.31,-0.02,0.11
6.394,-0.32,-0.01,0.12
6.404,-0.50,0.05,0.07
6.441,-0.59,-0.02,0.08
6.444,-0.60,-0.03,0.20
6.445,-0.59,0.04,0.18
6.447,-0.51,-0.01,0.11
6.455,-0.55,-0.03,0.12
6.466,-0.48,0.12,0.06
6.473,-0.44,-0.10,0.11
6.482,-0.31,0.03,0.08
6.493,-0.30,0.03,0.10
6.502,-0.31,-0.04,0.01
6.513,-0.28,0.02,-0.01
6.533,-0.32,-0.03,0.01
6.535,-0.26,0.03,0.07
6.541,-0.23,-0.02,0.07
6.553,-0.31,0.00,0.09
6.562,-0.14,-0.08,0.06
6.572,-0.13,0.00,0.01
6.583,0.05,-0.04,0.01
6.591,0.14,-0.03,0.00
6.601,0.18,0.00,-0.03
6.611,0.27,-0.05,-0.04
6.636,0.24,0.02,-0.08
6.639,0.28,0.00,-0.12
6.641,0.27,-0.04,-0.14
6.666,0.37,0.00,-0.05
6.668,0.36,0.03,-0.02
6.671,0.37,0.00,-0.07
6.680,0.30,-0.01,-0.08
6.691,0.44,-0.07,-0.18
6.703,0.20,-0.01,-0.11
6.710,0.16,0.30,-0.08
6.729,0.36,-0.13,-0.15
6.738,0.07,-0.75,-0.03
6.739,0.97,0.47,-0.28
6.751,-0.48,1.15,0.11
6.759,0.96,-0.47,0.13
6.771,-0.86,0.12,-0.17
6.780,0.94,0.24,0.03
6.790,-0.22,-0.82,0.14
6.800,0.46,0.13,0.12
6.812,-0.80,0.55,-0.05
6.823,0.28,-0.31,-0.03
6.832,-1.07,-0.28,0.10
6.851,0.14,0.54,0.15
6.853,-1.04,-0.59,0.09
6.861,-0.16,0.55,0.20
6.873,-1.02,-0.18,0.10
6.878,-0.67,0.42,0.24
6.889,-1.27,-0.39,0.12
6.898,-0.69,-0.66,0.19
6.908,-1.50,-0.32,0.22
6.931,-0.51,0.25,0.34
6.933,-0.97,0.09,0.16
6.939,-0.56,0.54,0.21
6.949,-0.89,-0.49,0.17
6.961,-0.73,0.11,0.17
6.970,-0.68,-0.17,0.20
6.977,-0.67,0.30,0.19
6.987,-0.83,0.10,0.19
6.997,-0.82,0.39,0.19
7.007,-0.80,-0.02,0.28
7.030,-0.74,0.07,0.25
7.032,-0.63,-0.20,0.21
7.036,-0.65,0.14,0.19
7.077,-0.51,-0.23,0.12
7.079,-0.57,-0.02,0.06
7.081,-0.37,0.17,0.04
7.082,-0.28,0.09,0.11
7.088,-0.13,-0.15,0.14
7.096,-0.08,0.11,-0.04
7.106,-0.08,-0.12,-0.03
7.115,0.03,0.11,-0.10
7.138,-0.01,-0.04,-0.01
7.140,0.08,-0.16,-0.07
7.147,0.13,-0.03,-0.09
7.161,0.22,0.07,-0.01
7.166,0.27,-0.10,-0.09
7.179,0.38,0.12,-0.16
7.185,0.33,0.02,-0.19
7.194,0.31,0.02,-0.11
7.205,0.28,-0.02,-0.05
7.214,0.30,0.06,0.02
7.234,0.34,-0.02,-0.05
7.235,0.36,0.01,-0.20
7.244,0.33,-0.13,-0.11
7.266,0.36,-0.08,-0.11
7.269,0.39,-0.00,-0.12
7.273,0.41,-0.07,-0.13
7.283,0.36,-0.06,-0.10
7.292,0.28,0.06,-0.05
7.303,0.27,-0.01,-0.03
7.316,0.21,0.01,-0.13
7.352,0.15,-0.08,-0.08
7.353,0.10,0.05,-0.05
7.354,0.13,0.21,0.00
7.356,0.05,-0.12,0.02
7.363,-0.01,0.10,-0.06
7.377,0.04,-0.05,-0.08
7.416,0.00,-0.04,-0.06
7.418,-0.02,0.04,0.02
7.418,0.05,-0.02,-0.00
7.419,-0.01,0.15,0.04
7.420,-0.03,0.04,0.05
7.430,-0.06,-0.11,0.03
7.442,-0.06,0.01,0.02
7.467,-0.11,-0.01,0.02
7.480,-0.12,-0.10,0.03
7.481,-0.11,0.00,0.10
7.482,-0.03,-0.04,0.03
7.490,-0.05,0.08,-0.01
7.503,0.00,-0.06,0.04
7.510,-0.06,0.08,-0.04
7.520,-0.03,0.03,-0.01
7.532,-0.10,-0.02,0.01
7.569,-0.10,0.01,0.11
7.570,-0.12,-0.01,-0.02
7.573,0.01,-0.00,0.01
7.574,0.02,-0.03,-0.04
7.581,0.05,-0.01,-0.05
7.589,0.11,-0.03,0.03
7.601,0.10,-0.01,-0.11
7.609,0.06,-0.03,-0.08
7.619,0.09,0.01,-0.01
7.629,0.02,0.09,0.07
7.653,-0.67,0.33,2.28
7.655,5.17,0.07,0.04
7.658,-28.01,-0.50,6.50
7.670,1.04,1.33,0.09
7.678,5.23,-1.52,-3.30
7.689,-8.21,-1.39,0.01
7.699,0.83,0.05,-0.44
7.708,-1.04,-1.04,0.07
7.734,0.13,0.27,2.29
7.736,1.77,1.09,0.70
7.738,-0.47,-0.08,-0.22
7.747,3.93,-0.23,-1.71
7.773,0.77,-0.73,0.82
7.774,0.20,0.63,-1.01
7.777,-0.14,-0.85,-1.20
7.788,0.21,0.25,-0.81
7.797,0.46,-0.29,-0.06
7.808,0.48,-0.21,1.32
7.834,-0.04,-0.08,0.48
7.835,0.13,-0.08,-0.52
7.837,0.36,-0.60,-0.65
7.848,0.03,0.24,-0.29
7.859,0.07,0.02,0.44
7.869,0.45,0.08,0.53
7.877,-0.01,0.20,-0.30
7.886,-0.11,-0.03,-0.58
7.897,0.13,0.07,-0.41
