0.656,-4.38,0.64,3.16
0.656,-4.63,1.11,2.29
0.657,-4.29,1.24,3.05
0.661,-4.31,1.47,4.56
0.663,-4.46,1.43,5.32
0.665,-4.17,1.09,5.90
0.671,-3.56,0.65,6.97
0.683,-2.66,-0.15,7.63
0.684,-1.62,-1.14,7.69
0.685,-0.62,-2.18,7.79
0.701,0.18,-3.13,7.86
0.702,0.48,-3.77,7.04
0.703,0.46,-3.94,5.43
0.704,0.24,-3.53,3.37
0.718,-0.05,-2.84,1.47
0.747,-0.35,-2.02,-0.03
0.748,-0.54,-1.31,-1.19
0.748,-0.70,-0.94,-1.77
0.749,-0.96,-1.01,-1.93
0.749,-1.38,-1.16,-1.11
0.751,-1.50,-1.20,-0.06
0.752,-1.37,-1.38,0.57
0.753,-1.23,-1.50,0.91
0.755,-0.64,-1.57,1.01
0.756,-0.29,-1.64,0.32
0.774,-0.18,-1.57,-0.82
0.776,-0.10,-1.42,-1.86
0.777,0.16,-1.27,-2.66
0.778,0.44,-1.13,-3.22
0.804,0.92,-1.19,-3.40
0.806,1.09,-1.00,-3.25
0.807,0.86,-0.60,-2.93
0.810,0.50,-0.15,-2.83
0.812,-0.43,0.60,-3.10
0.814,-1.16,1.04,-3.20
0.816,-1.66,1.28,-3.17
0.817,-2.12,1.54,-3.29
0.820,-2.69,1.76,-3.58
0.843,-3.15,1.68,-3.74
0.845,-3.50,1.40,-3.62
0.846,-3.68,1.02,-3.64
0.848,-3.62,0.54,-3.72
0.849,-3.46,-0.01,-3.38
0.850,-3.18,-0.54,-2.34
0.853,-2.40,-1.02,0.09
0.862,-0.63,-1.50,6.39
0.864,0.91,-1.95,12.43
0.868,1.58,-2.60,15.29
0.896,1.49,-3.07,15.41
0.897,0.73,-3.13,13.41
0.898,-0.44,-2.93,10.53
0.899,-1.53,-2.62,7.33
0.899,-1.99,-2.51,4.81
0.925,-1.78,-2.70,3.24
0.927,-1.41,-3.22,2.43
0.928,-0.85,-3.77,2.53
0.931,-0.11,-4.37,3.03
0.933,0.12,-4.86,2.41
0.936,-0.40,-4.87,0.14
0.938,-1.53,-4.23,-2.69
0.940,-2.39,-3.65,-4.58
0.942,-3.00,-3.30,-5.34
0.943,-3.51,-3.24,-5.50
0.945,-3.93,-3.27,-5.51
0.954,-4.10,-3.12,-5.53
0.956,-3.91,-2.75,-5.38
0.982,-3.55,-2.18,-5.03
0.983,-3.22,-1.62,-4.47
0.984,-2.90,-1.16,-3.91
0.998,-2.49,-0.82,-3.50
0.999,-2.00,-0.73,-3.24
1.000,-1.50,-0.89,-2.90
1.004,-0.89,-1.29,-2.64
1.005,-0.28,-1.74,-2.63
1.005,0.38,-2.24,-2.89
1.008,0.94,-2.65,-3.21
1.009,1.28,-2.95,-3.57
1.018,1.52,-3.25,-3.89
1.021,1.60,-3.39,-3.89
1.048,1.64,-3.49,-3.74
1.049,1.45,-3.54,-3.49
1.050,1.23,-3.40,-3.29
1.050,0.95,-3.25,-2.98
1.052,0.59,-2.97,-2.70
1.053,0.28,-2.61,-2.33
1.054,-0.14,-2.10,-1.93
1.077,-0.61,-1.51,-1.53
1.078,-0.89,-1.13,-1.12
1.079,-0.99,-1.01,-0.79
1.079,-1.35,-0.65,-0.58
1.080,-1.22,-0.83,-0.23
1.104,-0.99,-1.07,0.06
1.105,-0.70,-1.20,0.37
1.106,-0.39,-1.24,0.74
1.106,0.00,-1.20,1.02
1.107,0.30,-1.14,1.15
1.135,0.43,-1.05,1.12
1.141,0.68,-0.90,1.12
1.141,1.02,-0.86,1.22
1.142,1.29,-0.84,1.42
1.144,1.52,-0.87,1.63
1.146,1.82,-1.00,1.58
1.146,1.99,-1.29,1.41
1.147,2.14,-1.69,1.13
1.147,2.15,-1.80,0.91
1.149,2.01,-1.47,0.77
1.170,1.71,-0.94,0.64
1.171,1.36,-0.43,0.48
1.172,1.16,-0.15,0.26
1.172,1.08,0.04,0.12
1.200,1.17,0.19,0.09
1.201,1.30,0.30,0.17
1.201,1.46,0.27,0.26
1.202,1.57,0.19,0.33
1.204,1.58,0.05,0.37
1.204,1.56,-0.05,0.44
1.205,1.48,-0.04,0.53
1.230,1.26,0.00,0.55
1.231,0.95,-0.02,0.51
1.231,0.59,-0.06,0.39
1.232,0.23,-0.07,0.28
1.232,-0.05,0.01,0.35
1.233,-0.19,0.09,0.51
1.266,-0.20,0.11,0.63
1.267,-0.10,0.15,0.70
1.268,0.07,0.12,0.70
1.270,0.24,0.06,0.73
1.273,0.31,0.06,0.75
1.274,-0.47,0.78,0.70
1.279,-0.56,0.54,0.66
1.280,-0.43,0.01,0.63
1.281,-0.18,-0.47,0.68
1.282,0.12,-0.74,0.67
1.307,0.29,-0.76,0.47
1.308,0.38,-0.75,0.13
1.309,2.17,-1.61,-1.21
1.310,0.24,-0.45,-2.56
1.311,-0.69,0.21,-1.26
1.330,0.15,-0.53,-1.76
1.331,0.23,-0.95,-1.92
1.332,0.07,-0.81,-0.33
1.333,0.84,-1.14,-1.01
1.333,1.03,-0.90,-0.83
1.335,0.63,-0.30,-0.61
1.340,0.41,0.04,-1.24
1.345,0.23,0.23,-1.93
